freq,age,indic_he,unit,sex,icd10,geo,time,value
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,HU,2017,104.6
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,IE,2017,128.4
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,IS,2017,53.9
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,IT,2017,63.8
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,LI,2017,13.2
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,LT,2017,82.4
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,LV,2017,142.3
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,ME,2017,58.6
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,MT,2017,63.7
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,NL,2017,18.6
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,NO,2017,58.4
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,PL,2017,120.2
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,RO,2017,120.2
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,RS,2017,70.6
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,SE,2017,38.9
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,SI,2017,97.3
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,SK,2017,89.0
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,AT,2017,374.9
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,BE,2017,264.1
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,BG,2017,354.3
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,CH,2017,414.1
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,CY,2017,32.5
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,CZ,2017,200.2
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,DE,2017,367.4
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,ES,2017,132.4
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,FI,2017,182.0
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,FR,2017,225.7
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,HR,2017,177.3
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,HU,2017,243.0
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,IE,2017,121.1
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,IS,2017,83.0
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,IT,2017,83.1
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,LI,2017,42.1
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,LT,2017,358.6
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,LV,2017,107.8
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,ME,2017,106.7
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,MT,2017,101.9
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,NL,2017,97.0
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,NO,2017,212.9
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,PL,2017,231.3
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,RO,2017,170.7
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,RS,2017,215.6
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,SE,2017,108.5
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,SI,2017,209.4
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,SK,2017,144.1
A,TOTAL,INPAT,P_HTHAB,T,A_B,AT,2017,608.5
A,TOTAL,INPAT,P_HTHAB,T,A_B,BE,2017,516.1
A,TOTAL,INPAT,P_HTHAB,T,A_B,BG,2017,714.3
A,TOTAL,INPAT,P_HTHAB,T,A_B,CH,2017,423.7
A,TOTAL,INPAT,P_HTHAB,T,A_B,CY,2017,317.3
A,TOTAL,INPAT,P_HTHAB,T,A_B,CZ,2017,475.1
A,TOTAL,INPAT,P_HTHAB,T,A_B,DE,2017,755.1
A,TOTAL,INPAT,P_HTHAB,T,A_B,EE,2017,589.7
A,TOTAL,INPAT,P_HTHAB,T,A_B,ES,2017,246.7
A,TOTAL,INPAT,P_HTHAB,T,A_B,FI,2017,704.6
A,TOTAL,INPAT,P_HTHAB,T,A_B,FR,2017,332.6
A,TOTAL,INPAT,P_HTHAB,T,A_B,HR,2017,369.3
A,TOTAL,INPAT,P_HTHAB,T,A_B,HU,2017,463.3
A,TOTAL,INPAT,P_HTHAB,T,A_B,IE,2017,445.5
A,TOTAL,INPAT,P_HTHAB,T,A_B,IS,2017,165.4
A,TOTAL,INPAT,P_HTHAB,T,A_B,IT,2017,227.5
A,TOTAL,INPAT,P_HTHAB,T,A_B,LI,2017,192.3
A,TOTAL,INPAT,P_HTHAB,T,A_B,LT,2017,978.9
A,TOTAL,INPAT,P_HTHAB,T,A_B,LV,2017,737.4
A,TOTAL,INPAT,P_HTHAB,T,A_B,ME,2017,412.3
A,TOTAL,INPAT,P_HTHAB,T,A_B,MT,2017,273.5
A,TOTAL,INPAT,P_HTHAB,T,A_B,NL,2017,206.5
A,TOTAL,INPAT,P_HTHAB,T,A_B,NO,2017,481.9
A,TOTAL,INPAT,P_HTHAB,T,A_B,PL,2017,457.3
A,TOTAL,INPAT,P_HTHAB,T,A_B,RO,2017,1016.3
A,TOTAL,INPAT,P_HTHAB,T,A_B,RS,2017,293.4
A,TOTAL,INPAT,P_HTHAB,T,A_B,SE,2017,424.7
A,TOTAL,INPAT,P_HTHAB,T,A_B,SI,2017,515.4
A,TOTAL,INPAT,P_HTHAB,T,A_B,SK,2017,529.1
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,AT,2017,277.4
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,BE,2017,223.3
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,BG,2017,314.0
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,CH,2017,155.6
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,CY,2017,104.8
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,CZ,2017,224.5
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,DE,2017,285.4
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,ES,2017,72.0
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,FI,2017,388.2
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,FR,2017,123.9
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,HR,2017,118.5
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,HU,2017,244.9
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,IE,2017,143.9
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,IS,2017,78.6
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,IT,2017,92.3
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,LI,2017,81.7
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,LT,2017,326.0
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,LV,2017,276.8
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,ME,2017,100.4
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,MT,2017,181.0
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,NL,2017,97.8
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,NO,2017,271.3
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,PL,2017,162.3
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,RO,2017,463.1
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,RS,2017,107.2
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,SE,2017,217.0
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,SI,2017,188.6
A,TOTAL,INPAT,P_HTHAB,T,A_B_OTH,SK,2017,163.8
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,AT,2017,6.1
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,BE,2017,4.2
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,BG,2017,4.2
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,CH,2017,0.9
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,CY,2017,1.6
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,CZ,2017,1.0
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,DE,2017,1.4
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,EE,2017,33.9
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,ES,2017,5.1
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,FI,2017,1.3
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,FR,2017,2.4
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,HR,2017,2.1
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,HU,2017,1.7
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,IE,2017,1.2
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,IS,2017,1.2
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,IT,2017,6.9
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,LI,2017,0.0
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,LT,2017,2.5
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,LV,2017,37.2
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,ME,2017,5.5
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,MT,2017,0.2
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,NL,2017,1.4
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,NO,2017,3.9
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,PL,2017,8.4
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,RO,2017,52.0
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,RS,2017,4.4
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,SE,2017,1.1
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,SI,2017,0.5
A,TOTAL,INPAT,P_HTHAB,T,B20-B24,SK,2017,0.4
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,AT,2017,2873.9
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,BE,2017,1103.0
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,BG,2017,2364.1
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,CH,2017,1500.7
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,CY,2017,695.2
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,CZ,2017,1389.3
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,DE,2017,2446.2
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,EE,2017,2035.5
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,ES,2017,969.9
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,FI,2017,1470.2
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,FR,2017,1086.3
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,HR,2017,2014.2
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,HU,2017,2359.6
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,IE,2017,687.6
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,IS,2017,928.4
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,IT,2017,1108.7
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,LI,2017,166.0
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,LT,2017,1872.9
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,LV,2017,1832.0
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,ME,2017,1194.5
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,MT,2017,633.1
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,NL,2017,1003.2
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,NO,2017,1941.2
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,PL,2017,1495.0
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,RO,2017,1988.6
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,RS,2017,1900.9
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,SE,2017,964.7
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,SI,2017,1730.1
A,TOTAL,INPAT,P_HTHAB,T,C00-D48,SK,2017,1739.6
A,TOTAL,INPAT,P_HTHAB,T,C18-C21,AT,2017,259.2
A,TOTAL,INPAT,P_HTHAB,T,C18-C21,BE,2017,91.1
A,TOTAL,INPAT,P_HTHAB,T,C18-C21,BG,2017,222.0
A,TOTAL,INPAT,P_HTHAB,T,C18-C21,CH,2017,109.0
A,TOTAL,INPAT,P_HTHAB,T,C18-C21,CY,2017,81.3
A,TOTAL,INPAT,P_HTHAB,T,C18-C21,CZ,2017,117.7
A,TOTAL,INPAT,P_HTHAB,T,C18-C21,DE,2017,204.5
A,TOTAL,INPAT,P_HTHAB,T,C18-C21,ES,2017,101.4
A,TOTAL,INPAT,P_HTHAB,T,C18-C21,FI,2017,131.0
